2014-10-10 03:40:26 startup archives install
2014-10-10 03:40:26 install base-files <none> 6.0squeeze10
2014-10-10 03:40:26 status half-installed base-files 6.0squeeze10
2014-10-10 03:40:26 status unpacked base-files 6.0squeeze10
2014-10-10 03:40:26 status unpacked base-files 6.0squeeze10
2014-10-10 03:40:26 install base-passwd <none> 3.5.22
2014-10-10 03:40:26 status half-installed base-passwd 3.5.22
2014-10-10 03:40:26 status unpacked base-passwd 3.5.22
2014-10-10 03:40:26 status unpacked base-passwd 3.5.22
2014-10-10 03:40:26 configure base-passwd 3.5.22 3.5.22
2014-10-10 03:40:26 status unpacked base-passwd 3.5.22
2014-10-10 03:40:26 status half-configured base-passwd 3.5.22
2014-10-10 03:40:26 status installed base-passwd 3.5.22
2014-10-10 03:40:26 configure base-files 6.0squeeze10 6.0squeeze10
2014-10-10 03:40:26 status unpacked base-files 6.0squeeze10
2014-10-10 03:40:26 status unpacked base-files 6.0squeeze10
2014-10-10 03:40:26 status unpacked base-files 6.0squeeze10
2014-10-10 03:40:26 status unpacked base-files 6.0squeeze10
2014-10-10 03:40:26 status unpacked base-files 6.0squeeze10
2014-10-10 03:40:26 status unpacked base-files 6.0squeeze10
2014-10-10 03:40:26 status half-configured base-files 6.0squeeze10
2014-10-10 03:40:26 status installed base-files 6.0squeeze10
2014-10-10 03:40:26 startup archives install
2014-10-10 03:40:26 upgrade dpkg 1.15.11 1.15.11
2014-10-10 03:40:26 status half-configured dpkg 1.15.11
2014-10-10 03:40:26 status unpacked dpkg 1.15.11
2014-10-10 03:40:26 status half-installed dpkg 1.15.11
2014-10-10 03:40:26 status half-installed dpkg 1.15.11
2014-10-10 03:40:26 status unpacked dpkg 1.15.11
2014-10-10 03:40:26 status unpacked dpkg 1.15.11
2014-10-10 03:40:26 configure dpkg 1.15.11 1.15.11
2014-10-10 03:40:26 status unpacked dpkg 1.15.11
2014-10-10 03:40:26 status unpacked dpkg 1.15.11
2014-10-10 03:40:26 status unpacked dpkg 1.15.11
2014-10-10 03:40:26 status unpacked dpkg 1.15.11
2014-10-10 03:40:26 status unpacked dpkg 1.15.11
2014-10-10 03:40:26 status half-configured dpkg 1.15.11
2014-10-10 03:40:26 status installed dpkg 1.15.11
2014-10-10 03:40:26 startup archives install
2014-10-10 03:40:26 install libc6 <none> 2.11.3-4+deb6u1
2014-10-10 03:40:26 status half-installed libc6 2.11.3-4+deb6u1
2014-10-10 03:40:26 status unpacked libc6 2.11.3-4+deb6u1
2014-10-10 03:40:26 status unpacked libc6 2.11.3-4+deb6u1
2014-10-10 03:40:26 configure libc6 2.11.3-4+deb6u1 2.11.3-4+deb6u1
2014-10-10 03:40:26 status unpacked libc6 2.11.3-4+deb6u1
2014-10-10 03:40:26 status unpacked libc6 2.11.3-4+deb6u1
2014-10-10 03:40:26 status half-configured libc6 2.11.3-4+deb6u1
2014-10-10 03:40:27 status installed libc6 2.11.3-4+deb6u1
2014-10-10 03:40:27 startup archives install
2014-10-10 03:40:27 install perl-base <none> 5.10.1-17squeeze6
2014-10-10 03:40:27 status half-installed perl-base 5.10.1-17squeeze6
2014-10-10 03:40:27 status unpacked perl-base 5.10.1-17squeeze6
2014-10-10 03:40:27 status unpacked perl-base 5.10.1-17squeeze6
2014-10-10 03:40:27 configure perl-base 5.10.1-17squeeze6 5.10.1-17squeeze6
2014-10-10 03:40:27 status unpacked perl-base 5.10.1-17squeeze6
2014-10-10 03:40:27 status half-configured perl-base 5.10.1-17squeeze6
2014-10-10 03:40:27 status installed perl-base 5.10.1-17squeeze6
2014-10-10 03:40:28 startup archives install
2014-10-10 03:40:28 install mawk <none> 1.3.3-15
2014-10-10 03:40:28 status half-installed mawk 1.3.3-15
2014-10-10 03:40:28 status unpacked mawk 1.3.3-15
2014-10-10 03:40:28 status unpacked mawk 1.3.3-15
2014-10-10 03:40:28 configure mawk 1.3.3-15 1.3.3-15
2014-10-10 03:40:28 status unpacked mawk 1.3.3-15
2014-10-10 03:40:28 status half-configured mawk 1.3.3-15
2014-10-10 03:40:28 status installed mawk 1.3.3-15
2014-10-10 03:40:28 startup archives unpack
2014-10-10 03:40:28 upgrade base-files 6.0squeeze10 6.0squeeze10
2014-10-10 03:40:28 status half-configured base-files 6.0squeeze10
2014-10-10 03:40:28 status unpacked base-files 6.0squeeze10
2014-10-10 03:40:28 status half-installed base-files 6.0squeeze10
2014-10-10 03:40:28 status half-installed base-files 6.0squeeze10
2014-10-10 03:40:28 status unpacked base-files 6.0squeeze10
2014-10-10 03:40:28 status unpacked base-files 6.0squeeze10
2014-10-10 03:40:28 upgrade base-passwd 3.5.22 3.5.22
2014-10-10 03:40:28 status half-configured base-passwd 3.5.22
2014-10-10 03:40:28 status unpacked base-passwd 3.5.22
2014-10-10 03:40:28 status half-installed base-passwd 3.5.22
2014-10-10 03:40:28 status half-installed base-passwd 3.5.22
2014-10-10 03:40:28 status unpacked base-passwd 3.5.22
2014-10-10 03:40:28 status unpacked base-passwd 3.5.22
2014-10-10 03:40:28 install bash <none> 4.1-3+deb6u2
2014-10-10 03:40:28 status half-installed bash 4.1-3+deb6u2
2014-10-10 03:40:28 status unpacked bash 4.1-3+deb6u2
2014-10-10 03:40:28 status unpacked bash 4.1-3+deb6u2
2014-10-10 03:40:28 install bsdutils <none> 1:2.17.2-9
2014-10-10 03:40:28 status half-installed bsdutils 1:2.17.2-9
2014-10-10 03:40:28 status unpacked bsdutils 1:2.17.2-9
2014-10-10 03:40:28 status unpacked bsdutils 1:2.17.2-9
2014-10-10 03:40:28 install coreutils <none> 8.5-1
2014-10-10 03:40:28 status half-installed coreutils 8.5-1
2014-10-10 03:40:28 status unpacked coreutils 8.5-1
2014-10-10 03:40:28 status unpacked coreutils 8.5-1
